title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
PO'ed,PlayStation,8.0,1996,11,25,13909,Shooter,Time Warner Interactive,0.02,0.01,0.0,0.0,0.04
WWF Wrestlemania: The Arcade Game,PlayStation,7.0,1996,11,26,12801,Fighting,Acclaim Entertainment,0.03,0.02,0.0,0.0,0.06
Tetris Plus,PlayStation,6.0,1996,11,26,647,Puzzle,JVC,2.1,0.24,0.0,0.07,2.4
Tokyo Highway Battle,PlayStation,7.0,1996,11,26,5447,Racing,Jaleco,0.06,0.04,0.21,0.02,0.33
Zero Divide,PlayStation,5.0,1996,11,26,12725,Fighting,Ocean,0.03,0.02,0.0,0.0,0.06
X-COM: UFO Defense,PlayStation,9.0,1996,11,26,10877,Strategy,Microprose,0.05,0.04,0.0,0.01,0.09
Batman Forever: The Arcade Game,PlayStation,5.0,1996,11,2,14192,Action,Acclaim Entertainment,0.02,0.01,0.0,0.0,0.03
Road Rash,PlayStation,5.0,1996,11,25,1556,Racing,Electronic Arts,0.71,0.48,0.0,0.08,1.27
Shellshock,PlayStation,7.0,1996,11,25,10539,Action,Core Design Ltd.,0.06,0.04,0.0,0.01,0.1
SimCity 2000,PlayStation,7.0,1996,11,25,1647,Simulation,Maxis,0.68,0.46,0.0,0.08,1.22
Street Fighter Alpha: Warriors' Dreams,PlayStation,7.0,1996,11,25,2696,Fighting,Virgin Interactive,0.17,0.11,0.43,0.05,0.76
Revolution X,PlayStation,1.0,1996,11,25,10497,Shooter,Acclaim Entertainment,0.06,0.04,0.0,0.01,0.1
Psychic Detective,PlayStation,2.0,1996,11,25,16557,Adventure,Electronic Arts,0.01,0.0,0.0,0.0,0.01
NHL FaceOff,PlayStation,9.0,1996,11,25,4390,Sports,Sony Computer Entertainment,0.25,0.17,0.0,0.03,0.45
NFL GameDay,PlayStation,8.0,1996,11,25,2448,Sports,Sony Computer Entertainment,0.47,0.32,0.0,0.06,0.85
Kileak: The DNA Imperative,PlayStation,3.0,1996,11,25,5103,Shooter,Sony Computer Entertainment,0.08,0.06,0.21,0.02,0.37
Formula 1,PlayStation,8.0,1996,11,25,2689,Racing,Psygnosis,0.18,0.12,0.42,0.05,0.76
Zoop,PlayStation,5.0,1996,11,26,13272,Puzzle,MediaQuest,0.03,0.02,0.0,0.0,0.05
Tekken 2,PlayStation,9.0,1996,11,26,153,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74
Warhawk,PlayStation,8.7,1996,11,26,4305,Simulation,Sony Computer Entertainment,0.25,0.17,0.0,0.03,0.46
Rayman,PlayStation,7.0,1996,11,25,463,Platform,Ubisoft,1.54,1.33,0.0,0.16,3.03
Romance of the Three Kingdoms IV: Wall of Fire,PlayStation,6.0,1996,11,25,9462,Strategy,Tecmo Koei,0.05,0.03,0.04,0.01,0.13
Off-World Interceptor Extreme,PlayStation,4.0,1996,11,25,8394,Racing,Crystal Dynamics,0.09,0.06,0.0,0.01,0.17
Gex,PlayStation,6.0,1996,11,25,2378,Platform,Crystal Dynamics,0.49,0.33,0.0,0.06,0.87
Skeleton Warriors,PlayStation,5.0,1996,11,25,11626,Platform,Virgin Interactive,0.04,0.03,0.0,0.01,0.08
Johnny Bazookatone,PlayStation,5.0,1996,11,25,13224,Platform,U.S. Gold,0.03,0.02,0.0,0.0,0.05
Road & Track Presents: The Need for Speed,PlayStation,7.0,1996,11,25,2070,Racing,Electronic Arts,0.56,0.38,0.0,0.07,1.0
Rally Cross,PlayStation,7.0,1997,2,20,5639,Racing,Sony Computer Entertainment,0.18,0.12,0.0,0.02,0.32
Grid Runner,PlayStation,6.0,1997,2,10,14595,Action,Virgin Interactive,0.02,0.01,0.0,0.0,0.03
Virtual Pool,PlayStation,7.0,1997,2,10,3901,Sports,Interplay,0.28,0.19,0.0,0.03,0.51
Peak Performance,PlayStation,7.0,1997,4,29,14455,Racing,JVC,0.02,0.01,0.0,0.0,0.03
Independence Day,PlayStation,2.0,1997,4,23,4440,Shooter,Fox Interactive,0.25,0.17,0.0,0.03,0.44
Buster Bros. Collection,PlayStation,6.0,1997,4,21,11755,Puzzle,Capcom,0.04,0.03,0.0,0.0,0.07
Destruction Derby 2,PlayStation,7.2,1996,12,23,1737,Racing,Psygnosis,0.65,0.44,0.0,0.08,1.17
Blood Omen: Legacy of Kain,PlayStation,8.5,1997,1,31,4451,Role-Playing,Crystal Dynamics,0.25,0.17,0.0,0.03,0.44
NHL FaceOff '97,PlayStation,8.0,1997,1,28,4264,Sports,Sony Computer Entertainment,0.26,0.17,0.0,0.03,0.46
Super Puzzle Fighter II Turbo,PlayStation,9.0,1997,1,27,9217,Puzzle,Virgin Interactive,0.08,0.05,0.0,0.01,0.14
Suikoden,PlayStation,9.0,1997,1,22,3354,Role-Playing,Konami Digital Entertainment,0.21,0.14,0.21,0.04,0.6
Battle Stations,PlayStation,6.0,1997,4,16,2643,Strategy,Electronic Arts,0.43,0.29,0.0,0.05,0.78
Nanotek Warrior,PlayStation,8.0,1997,4,14,14807,Shooter,Virgin Interactive,0.01,0.01,0.0,0.0,0.03
Rush Hour,PlayStation,6.0,1997,4,14,14718,Misc,Psygnosis,0.02,0.01,0.0,0.0,0.03
Vandal Hearts,PlayStation,8.0,1997,4,9,4401,Role-Playing,Konami Digital Entertainment,0.14,0.09,0.19,0.03,0.45
Mortal Kombat Trilogy,PlayStation,6.0,1996,12,19,533,Fighting,GT Interactive,1.98,0.7,0.0,0.11,2.79
Pitball,PlayStation,5.0,1996,12,18,14877,Sports,Time Warner Interactive,0.01,0.01,0.0,0.0,0.03
MLB Pennant Race,PlayStation,5.0,1996,12,17,6053,Sports,Sony Computer Entertainment,0.16,0.11,0.0,0.02,0.29
Project Overkill,PlayStation,5.0,1997,1,21,6752,Shooter,Konami Digital Entertainment,0.14,0.09,0.0,0.02,0.25
Crusader: No Remorse,PlayStation,7.0,1997,1,21,13352,Adventure,Electronic Arts,0.03,0.02,0.0,0.0,0.05
VR Golf '97,PlayStation,8.0,1997,1,20,8390,Sports,Gremlin Interactive Ltd,0.09,0.06,0.0,0.01,0.17
Disruptor,PlayStation,8.0,1997,1,13,9470,Shooter,Interplay,0.07,0.05,0.0,0.01,0.13
Final Doom,PlayStation,7.0,1997,1,7,6401,Shooter,GT Interactive,0.15,0.1,0.0,0.02,0.27
Twisted Metal 2,PlayStation,7.3,1997,1,7,632,Racing,Sony Computer Entertainment,2.12,0.25,0.0,0.07,2.44
Jet Moto,PlayStation,8.0,1997,1,3,948,Racing,Sony Computer Entertainment,1.33,0.4,0.03,0.07,1.83
Big Bass World Championship,PlayStation,6.0,1997,3,27,5203,Sports,Starfish,0.2,0.14,0.0,0.02,0.36
NBA ShootOut '97,PlayStation,9.0,1997,3,18,3246,Sports,Sony Computer Entertainment,0.35,0.24,0.0,0.04,0.62
The Crow: City of Angels,PlayStation,1.0,1997,3,11,15543,Action,Acclaim Entertainment,0.01,0.01,0.0,0.0,0.02
Star Wars: Dark Forces,PlayStation,5.0,1996,12,13,3667,Shooter,LucasArts,0.31,0.21,0.0,0.04,0.55
Cool Boarders,PlayStation,7.0,1996,12,13,4542,Sports,Sony Computer Entertainment,0.1,0.07,0.24,0.03,0.43
Street Fighter Alpha 2,PlayStation,8.5,1996,12,11,2437,Fighting,Virgin Interactive,0.14,0.09,0.57,0.06,0.85
Black Dawn,PlayStation,7.5,1997,1,2,9608,Simulation,Virgin Interactive,0.07,0.05,0.0,0.01,0.13
