title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Stronghold Legends,PC,5.7,2006,10,27,15684,Strategy,Take-Two Interactive,0.0,0.01,0.0,0.0,0.02
Guild Wars: Nightfall,PC,8.4,2006,11,9,14732,Role-Playing,NCSoft,0.0,0.02,0.0,0.01,0.03
The Sims 2: Pets,PC,7.4,2006,10,26,13618,Simulation,Electronic Arts,0.01,0.02,0.0,0.01,0.04
Marvel: Ultimate Alliance,PC,8.2,2006,10,25,16236,Role-Playing,Activision,0.01,0.0,0.0,0.0,0.01
Sid Meier's Railroads!,PC,8.0,2006,10,24,13858,Simulation,Take-Two Interactive,0.01,0.03,0.0,0.01,0.04
Microsoft Flight Simulator X,PC,7.0,2006,12,1,4550,Simulation,Microsoft Game Studios,0.02,0.34,0.0,0.07,0.43
Gothic 3,PC,4.9,2006,11,28,12752,Role-Playing,JoWood Productions,0.0,0.05,0.0,0.01,0.06
Secret Files: Tunguska,PC,7.6,2006,12,4,13444,Adventure,DreamCatcher Interactive,0.0,0.04,0.0,0.01,0.05
Star Trek: Legacy,PC,5.9,2006,12,11,15798,Simulation,Ubisoft,0.0,0.01,0.0,0.0,0.02
World of Warcraft: The Burning Crusade,PC,8.8,2007,1,30,289,Role-Playing,Activision,2.57,1.52,0.0,0.0,4.09
Battlestations: Midway,PC,8.5,2007,1,30,16276,Strategy,Eidos Interactive,0.0,0.01,0.0,0.0,0.01
Supreme Commander,PC,9.0,2007,2,16,13340,Strategy,THQ,0.0,0.04,0.0,0.01,0.05
Deal or No Deal,PC,3.1,2007,2,15,16516,Misc,Focus Home Interactive,0.0,0.01,0.0,0.0,0.01
Silent Hunter: Wolves of the Pacific,PC,8.8,2007,3,21,13308,Simulation,Ubisoft,0.0,0.04,0.0,0.01,0.05
The Sims 2: Seasons,PC,8.9,2007,3,20,12001,Simulation,Electronic Arts,0.01,0.04,0.0,0.01,0.07
S.T.A.L.K.E.R.: Shadow of Chernobyl,PC,8.2,2007,3,19,12624,Shooter,THQ,0.01,0.04,0.0,0.01,0.06
IL-2 Sturmovik: 1946,PC,8.1,2007,3,23,13506,Simulation,Ubisoft,0.0,0.04,0.0,0.01,0.04
Test Drive Unlimited,PC,8.0,2007,4,3,15124,Racing,Atari,0.0,0.02,0.0,0.0,0.02
Spider-Man 3,PC,4.7,2007,5,8,15305,Platform,Activision,0.02,0.0,0.0,0.0,0.02
Resident Evil 4,PC,7.7,2007,5,25,14483,Action,Ubisoft,0.0,0.02,0.0,0.01,0.03
Halo 2,PC,7.5,2007,6,5,10818,Shooter,Microsoft Game Studios,0.01,0.06,0.0,0.02,0.1
Harry Potter and the Order of the Phoenix,PC,7.3,2007,6,28,13876,Action,Electronic Arts,0.0,0.03,0.0,0.01,0.04
Overlord,PC,8.0,2007,7,9,15147,Strategy,Codemasters,0.0,0.02,0.0,0.0,0.02
Call of Juarez,PC,6.8,2007,7,18,16013,Shooter,Ubisoft,0.0,0.01,0.0,0.0,0.01
BioShock,PC,9.7,2007,8,17,4691,Shooter,Take-Two Interactive,0.01,0.39,0.0,0.02,0.41
World in Conflict,PC,9.3,2007,9,7,14020,Strategy,Vivendi Games,0.0,0.03,0.0,0.01,0.04
Combat Mission: Shock Force,PC,5.2,2007,9,12,14267,Strategy,Paradox Interactive,0.0,0.03,0.0,0.01,0.03
Medal of Honor: Airborne,PC,7.9,2007,9,4,12831,Shooter,Electronic Arts,0.0,0.04,0.0,0.01,0.05
The Sims 2: Bon Voyage,PC,8.0,2007,10,1,14770,Simulation,Electronic Arts,0.01,0.01,0.0,0.0,0.03
The Settlers: Rise of an Empire,PC,6.5,2007,10,1,14943,Strategy,Ubisoft,0.01,0.01,0.0,0.0,0.02
Company of Heroes: Opposing Fronts,PC,8.8,2007,9,28,13705,Strategy,THQ,0.01,0.03,0.0,0.01,0.04
Enemy Territory: Quake Wars,PC,8.5,2007,10,2,15898,Shooter,Activision,0.01,0.0,0.0,0.0,0.02
Spider-Man: Friend or Foe,PC,4.9,2007,10,5,16224,Action,Activision,0.01,0.0,0.0,0.0,0.01
Neverwinter Nights 2: Mask of the Betrayer,PC,8.5,2007,10,15,16011,Role-Playing,Atari,0.0,0.01,0.0,0.0,0.01
The Orange Box,PC,9.5,2007,10,9,9064,Shooter,Electronic Arts,0.0,0.11,0.0,0.03,0.14
The Witcher,PC,8.5,2007,10,29,12467,Role-Playing,Atari,0.0,0.05,0.0,0.01,0.06
Age of Empires III: The Asian Dynasties,PC,8.0,2007,10,23,12179,Strategy,Microsoft Game Studios,0.0,0.05,0.0,0.01,0.07
Clive Barker's Jericho,PC,5.6,2007,10,26,16436,Shooter,Codemasters,0.0,0.01,0.0,0.0,0.01
TimeShift,PC,7.6,2007,10,30,16290,Shooter,Vivendi Games,0.01,0.0,0.0,0.0,0.01
F.E.A.R. Perseus Mandate,PC,5.9,2007,11,6,16245,Shooter,Vivendi Games,0.01,0.0,0.0,0.0,0.01
Hellgate: London,PC,6.8,2007,11,5,15332,Role-Playing,Electronic Arts,0.0,0.02,0.0,0.0,0.02
Call of Duty 4: Modern Warfare,PC,9.4,2007,11,5,1771,Shooter,Activision,0.0,1.12,0.0,0.03,1.15
Gears of War,PC,8.7,2007,11,7,15784,Shooter,Microsoft Game Studios,0.0,0.01,0.0,0.0,0.02
Crysis,PC,9.4,2007,11,12,2857,Shooter,Electronic Arts,0.0,0.69,0.0,0.03,0.72
Supreme Commander: Forged Alliance,PC,8.6,2007,11,9,13854,Strategy,THQ,0.01,0.02,0.0,0.01,0.04
Empire Earth III,PC,5.4,2007,11,16,13774,Strategy,Vivendi Games,0.0,0.03,0.0,0.01,0.04
Guitar Hero III: Legends of Rock,PC,8.5,2007,11,13,16048,Misc,Aspyr,0.01,0.0,0.0,0.0,0.01
Unreal Tournament III,PC,9.0,2007,11,21,12398,Shooter,Midway Games,0.0,0.05,0.0,0.01,0.06
SimCity Societies,PC,5.8,2007,11,13,15017,Simulation,Electronic Arts,0.0,0.02,0.0,0.0,0.02
Pirates of the Burning Sea,PC,8.2,2008,2,12,15568,Role-Playing,Koch Media,0.0,0.01,0.0,0.0,0.02
Sins of a Solar Empire,PC,8.9,2008,2,15,14468,Strategy,Pinnacle,0.0,0.02,0.0,0.01,0.03
Rail Simulator,PC,7.0,2008,2,25,16180,Simulation,Electronic Arts,0.0,0.01,0.0,0.0,0.01
Conflict: Denied Ops,PC,4.0,2008,2,25,16259,Shooter,Eidos Interactive,0.0,0.01,0.0,0.0,0.01
Lost: Via Domus,PC,5.5,2008,2,29,15702,Action,Ubisoft,0.0,0.01,0.0,0.0,0.02
Frontlines: Fuel of War,PC,7.8,2008,2,26,15108,Shooter,THQ,0.0,0.02,0.0,0.0,0.02
Imperium Romanum,PC,6.0,2008,3,24,15965,Strategy,Kalypso Media,0.0,0.01,0.0,0.0,0.02
Jack Keane,PC,7.5,2008,4,28,14571,Adventure,Kalypso Media,0.0,0.02,0.0,0.0,0.03
Tom Clancy's Rainbow Six: Vegas 2,PC,7.7,2008,4,21,15007,Shooter,Ubisoft,0.0,0.02,0.0,0.0,0.02
