title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Terminator 3: Rise of the Machines,Game Boy Advance,6.5,2004,5,7,12707,Action,Atari,0.04,0.02,0.0,0.0,0.06,38,21,6.3,23
Wade Hixton's Counter Punch,Game Boy Advance,8.0,2004,3,23,16448,Sports,"Destination Software, Inc",0.01,0.0,0.0,0.0,0.01,78,13,9.5,4
Ten Pin Alley 2,Game Boy Advance,4.0,2004,4,28,16029,Sports,XS Games,0.01,0.0,0.0,0.0,0.01,,,tbd,
Serious Sam Advance,Game Boy Advance,5.0,2004,4,27,14942,Shooter,Global Star,0.02,0.01,0.0,0.0,0.02,51,9,7.2,10
Shining Soul II,Game Boy Advance,7.5,2004,4,26,11346,Role-Playing,THQ,0.06,0.02,0.0,0.0,0.08,74,18,8.3,9
Spyro Orange: The Cortex Conspiracy,Game Boy Advance,7.0,2004,6,2,3519,Action,Vivendi Games,0.41,0.15,0.0,0.01,0.57,60,25,7,12
Crash Bandicoot Purple: Ripto's Rampage,Game Boy Advance,7.0,2004,6,1,3137,Platform,Vivendi Games,0.46,0.17,0.0,0.01,0.64,67,23,6.6,12
Ultimate Card Games,Game Boy Advance,9.5,2004,5,28,9857,Misc,Telegames,0.09,0.03,0.0,0.0,0.12,87,9,,
Sonic Advance 3,Game Boy Advance,9.0,2004,5,27,1386,Platform,THQ,0.74,0.52,0.08,0.06,1.4,79,30,8.4,34
Van Helsing,Game Boy Advance,2.5,2004,5,26,10609,Action,Activision,0.07,0.03,0.0,0.0,0.1,64,41,8.5,19
River City Ransom EX,Game Boy Advance,7.8,2004,5,25,12057,Action,Atlus,0.05,0.02,0.0,0.0,0.07,75,21,8.4,7
Harry Potter and the Prisoner of Azkaban,Game Boy Advance,6.5,2004,6,16,3870,Action,Electronic Arts,0.37,0.14,0.0,0.01,0.52,70,29,8.7,29
Bookworm,Game Boy Advance,6.0,2004,6,15,14848,Puzzle,Unknown,0.02,0.01,0.0,0.0,0.03,62,5,,
Super Collapse! II,Game Boy Advance,6.0,2004,6,15,14487,Puzzle,Majesco Entertainment,0.02,0.01,0.0,0.0,0.03,,,,
