title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Dragon's Dogma,Xbox 360,7.5,2012,5,21,2583,Role-Playing,Capcom,0.42,0.24,0.07,0.06,0.8,78,38,8.3,444
Game of Thrones,Xbox 360,4.0,2012,5,15,6546,Role-Playing,Focus Home Interactive,0.15,0.08,0.0,0.02,0.26,52,35,5.2,126
Max Payne 3,Xbox 360,9.0,2012,5,14,1103,Shooter,Take-Two Interactive,0.86,0.64,0.01,0.14,1.66,87,31,7.8,790
Sniper Elite V2,Xbox 360,8.0,2012,5,14,2453,Shooter,505 Games,0.46,0.29,0.02,0.07,0.85,70,21,6.9,92
Minecraft,Xbox 360,8.5,2012,5,9,73,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,,,,
Steel Battalion: Heavy Armor,Xbox 360,3.0,2012,6,19,9464,Misc,Capcom,0.08,0.03,0.02,0.01,0.13,38,58,2.4,92
LEGO Batman 2: DC Super Heroes,Xbox 360,8.5,2012,6,18,1077,Action,Warner Bros. Interactive Entertainment,0.9,0.64,0.0,0.15,1.68,79,59,7.2,114
Lollipop Chainsaw,Xbox 360,5.0,2012,6,14,4032,Action,Warner Bros. Interactive Entertainment,0.31,0.13,0.02,0.04,0.49,67,37,7.1,199
Inversion,Xbox 360,5.5,2012,6,5,12487,Shooter,Namco Bandai Games,0.03,0.02,0.0,0.01,0.06,56,23,5.4,43
Spec Ops: The Line,Xbox 360,8.0,2012,6,26,4527,Shooter,Take-Two Interactive,0.21,0.19,0.0,0.04,0.43,77,27,8,350
NCAA Football 13,Xbox 360,8.0,2012,7,6,1903,Action,Electronic Arts,1.02,0.0,0.0,0.06,1.08,76,20,5.5,65
Dead Space 3,Xbox 360,7.8,2013,2,7,2083,Action,Electronic Arts,0.64,0.28,0.0,0.08,0.99,78,68,6.4,694
London 2012: The Official Video Game of the Olympic Games,Xbox 360,7.0,2012,6,29,3387,Sports,Sega,0.07,0.46,0.0,0.07,0.59,,,,
Crysis 3,Xbox 360,8.5,2013,2,19,2264,Shooter,Electronic Arts,0.51,0.33,0.01,0.08,0.92,76,45,6.7,344
Major League Baseball 2K13,Xbox 360,4.5,2013,3,25,4206,Sports,Take-Two Interactive,0.44,0.0,0.0,0.03,0.47,,,,
