title,platform,score,release_year,release_month,release_day,Rank,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
The Stronghold Collection,PC,7.0,2009,11,20,9638,Strategy,Take-Two Interactive,0.03,0.08,0.0,0.02,0.13,,,tbd,
WorldShift,PC,5.0,2009,11,20,15574,Strategy,Playlogic Game Factory,0.02,0.0,0.0,0.0,0.02,63,9,8.1,8
Avatar: The Game,PC,6.8,2009,12,1,13432,Action,Ubisoft,0.0,0.04,0.0,0.01,0.05,,,,
Mass Effect 2,PC,9.6,2010,1,22,4869,Role-Playing,Electronic Arts,0.01,0.32,0.0,0.07,0.4,96,98,8.9,3143
Blood Bowl,PC,6.4,2010,1,29,13852,Sports,Focus Home Interactive,0.01,0.02,0.0,0.01,0.04,61,28,5.1,19
Dark Void,PC,5.0,2010,1,20,15792,Action,Capcom,0.0,0.01,0.0,0.0,0.02,59,50,6,36
Divinity II: Ego Draconis,PC,7.0,2010,1,15,11721,Role-Playing,DTP Entertainment,0.01,0.05,0.0,0.01,0.08,62,37,6.4,36
Borderlands,PC,8.8,2010,2,26,8035,Shooter,Take-Two Interactive,0.01,0.14,0.0,0.04,0.18,84,83,8.2,715
Supreme Commander 2,PC,8.4,2010,3,3,7800,Strategy,Square Enix,0.0,0.15,0.0,0.04,0.19,75,28,7.1,23
Assassin's Creed II,PC,8.9,2010,3,12,3528,Action,Ubisoft,0.01,0.45,0.0,0.11,0.57,86,22,6.9,1611
Napoleon: Total War,PC,8.9,2010,2,18,3075,Strategy,Sega,0.02,0.52,0.0,0.12,0.66,81,56,7.9,515
Star Trek Online,PC,6.8,2010,2,17,14984,Role-Playing,Atari,0.0,0.02,0.0,0.0,0.02,66,34,6.2,694
Battlefield: Bad Company 2,PC,8.9,2010,3,2,2858,Shooter,Electronic Arts,0.19,0.53,0.0,0.0,0.71,88,75,8.6,869
Just Cause 2,PC,8.8,2010,3,23,9549,Action,Square Enix,0.0,0.1,0.0,0.03,0.13,83,66,8,291
Command & Conquer 4: Tiberian Twilight,PC,7.4,2010,3,18,15821,Strategy,Electronic Arts,0.0,0.01,0.0,0.0,0.02,,,,
Metro 2033,PC,6.9,2010,3,19,6839,Shooter,THQ,0.0,0.19,0.0,0.05,0.24,77,83,7.9,351
The Settlers 7: Paths to a Kingdom,PC,6.0,2010,4,6,5621,Strategy,Ubisoft,0.0,0.26,0.0,0.06,0.32,79,33,5.2,213
Mount & Blade: Warband,PC,8.1,2010,4,13,15436,Role-Playing,Paradox Interactive,0.01,0.01,0.0,0.0,0.02,,,,
LEGO Harry Potter: Years 1-4,PC,8.5,2010,6,29,14963,Action,Warner Bros. Interactive Entertainment,0.01,0.01,0.0,0.0,0.02,79,13,8,34
Singularity,PC,7.0,2010,6,29,13136,Shooter,Mastertronic,0.0,0.04,0.0,0.01,0.05,76,36,7.7,326
Split/Second,PC,8.5,2010,5,25,13539,Racing,Disney Interactive Studios,0.0,0.04,0.0,0.01,0.04,,,,
Age of Conan: Rise of the Godslayer,PC,7.9,2010,6,1,14656,Role-Playing,Funcom,0.0,0.02,0.0,0.0,0.03,83,14,8.4,52
Alpha Protocol,PC,6.3,2010,6,1,14053,Role-Playing,Sega,0.0,0.03,0.0,0.01,0.04,64,49,6.9,117
Blur,PC,7.0,2010,6,2,12385,Racing,Activision,0.01,0.04,0.0,0.01,0.06,81,58,8.2,86
Prince of Persia: The Forgotten Sands,PC,8.0,2010,6,9,14241,Action,Ubisoft,0.0,0.03,0.0,0.0,0.03,75,49,7.6,120
The Sims 3: Ambitions,PC,8.0,2010,6,1,4194,Simulation,Electronic Arts,0.0,0.29,0.0,0.18,0.47,74,25,7.3,51
Sniper: Ghost Warrior,PC,5.0,2010,7,7,8654,Shooter,City Interactive,0.0,0.13,0.0,0.03,0.16,45,39,5.8,89
Tom Clancy's Splinter Cell: Conviction,PC,8.5,2010,7,14,10349,Action,Ubisoft,0.0,0.08,0.0,0.02,0.11,,,,
Kane & Lynch 2: Dog Days,PC,7.0,2010,8,25,11933,Shooter,Square Enix,0.0,0.06,0.0,0.01,0.07,,,,
Disciples III: Renaissance,PC,6.0,2010,8,31,15728,Strategy,Kalypso Media,0.0,0.01,0.0,0.0,0.02,56,36,5.4,105
Mafia II,PC,7.0,2010,8,23,4841,Action,Take-Two Interactive,0.17,0.17,0.0,0.06,0.4,74,79,7.8,458
Fallout: New Vegas,PC,9.0,2010,10,19,1743,Role-Playing,Bethesda Softworks,0.58,0.45,0.0,0.14,1.16,84,81,8.1,769
Lost Planet 2,PC,6.0,2010,10,18,14791,Shooter,Capcom,0.0,0.02,0.0,0.01,0.03,68,56,6.9,62
Sid Meier's Civilization V,PC,9.0,2010,9,20,1071,Strategy,Take-Two Interactive,0.98,0.52,0.0,0.19,1.69,90,70,7.9,2280
NBA 2K11,PC,8.0,2010,10,8,7881,Action,Take-Two Interactive,0.18,0.0,0.0,0.01,0.19,89,50,8.1,100
Front Mission Evolved,PC,6.0,2010,10,1,12873,Shooter,Square Enix,0.05,0.0,0.0,0.0,0.05,58,42,6,30
Medal of Honor,PC,6.5,2010,10,12,4050,Shooter,Electronic Arts,0.2,0.23,0.0,0.07,0.49,75,56,7.5,286
R.U.S.E.,PC,8.5,2010,9,24,6254,Strategy,Ubisoft,0.04,0.19,0.0,0.05,0.28,76,37,7.3,50
Darksiders,PC,8.0,2010,9,23,8795,Action,THQ,0.07,0.06,0.0,0.02,0.15,83,81,7.9,292
Worms Reloaded,PC,8.5,2010,9,30,13230,Strategy,Team17 Software,0.0,0.04,0.0,0.01,0.05,79,28,6.8,185
Dead Rising 2,PC,8.0,2010,9,30,9255,Action,Capcom,0.1,0.02,0.0,0.01,0.14,79,76,6.9,216
FIFA Soccer 11,PC,8.0,2010,10,22,8096,Sports,Electronic Arts,0.0,0.14,0.0,0.04,0.18,89,51,8,233
Need for Speed: Hot Pursuit,PC,9.0,2010,11,30,5073,Racing,Electronic Arts,0.12,0.2,0.0,0.06,0.38,89,59,7.2,301
James Bond 007: Blood Stone,PC,5.0,2010,11,2,15608,Shooter,Activision,0.02,0.0,0.0,0.0,0.02,65,49,7.4,45
Cities XL 2011,PC,7.0,2010,11,16,15034,Simulation,Focus Home Interactive,0.0,0.02,0.0,0.0,0.02,70,17,5.7,39
